Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ARTime,reward_low_FN_rate,benign/2024-02-05_01_benignLoop.csv,0.26755500000000004,-0.33,0,221,3,0,224
ARTime,reward_low_FN_rate,benign/2024-02-05_02_benignLoop.csv,0.26755500000000004,-0.22,0,476,2,0,478
ARTime,reward_low_FN_rate,benign/2024-02-05_03_benignLoop.csv,0.26755500000000004,-0.44,0,686,4,0,690
ARTime,reward_low_FN_rate,benign/2024-02-05_04_benignLoop.csv,0.26755500000000004,-0.11,0,142,1,0,143
ARTime,reward_low_FN_rate,benign/2024-02-05_05_benignLoop.csv,0.26755500000000004,-0.11,0,137,1,0,138
ARTime,reward_low_FN_rate,benign/2024-02-05_06_benignLoop.csv,0.26755500000000004,-0.22,0,135,2,0,137
ARTime,reward_low_FN_rate,benign/2024-02-05_07_benignLoop.csv,0.26755500000000004,-0.11,0,135,1,0,136
ARTime,reward_low_FN_rate,benign/2024-02-05_08_benignLoop.csv,0.26755500000000004,-0.22,0,129,2,0,131
ARTime,reward_low_FN_rate,benign/2024-02-05_09_benignLoop.csv,0.26755500000000004,-0.22,0,133,2,0,135
ARTime,reward_low_FN_rate,benign/2024-02-05_10_benignLoop.csv,0.26755500000000004,-0.33,0,132,3,0,135
ARTime,reward_low_FN_rate,benign/2024-02-05_11_benignLoop.csv,0.26755500000000004,-0.11,0,140,1,0,141
ARTime,reward_low_FN_rate,benign/2024-02-05_12_benignLoop.csv,0.26755500000000004,-0.22,0,130,2,0,132
ARTime,reward_low_FN_rate,benign/2024-02-05_13_benignLoop.csv,0.26755500000000004,-0.55,0,568,5,0,573
ARTime,reward_low_FN_rate,benign/2024-02-05_14_benignLoop.csv,0.26755500000000004,-0.22,0,126,2,0,128
ARTime,reward_low_FN_rate,benign/2024-02-05_15_benignLoop.csv,0.26755500000000004,-0.11,0,143,1,0,144
ARTime,reward_low_FN_rate,benign/2024-02-05_16_benignLoop.csv,0.26755500000000004,-0.33,0,521,3,0,524
ARTime,reward_low_FN_rate,benign/2024-02-05_17_benignLoop.csv,0.26755500000000004,-0.33,0,136,3,0,139
ARTime,reward_low_FN_rate,benign/2024-02-05_18_benignLoop.csv,0.26755500000000004,-0.11,0,713,1,0,714
ARTime,reward_low_FN_rate,benign/2024-02-05_19_benignLoop.csv,0.26755500000000004,-0.66,0,671,6,0,677
ARTime,reward_low_FN_rate,benign/2024-02-05_20_benignLoop.csv,0.26755500000000004,-0.22,0,132,2,0,134
ARTime,reward_low_FN_rate,benign/2024-02-06_01_benignLoop.csv,0.26755500000000004,-0.33,0,702,3,0,705
ARTime,reward_low_FN_rate,benign/2024-02-06_02_benignLoop.csv,0.26755500000000004,-0.33,0,133,3,0,136
ARTime,reward_low_FN_rate,benign/2024-02-06_03_benignLoop.csv,0.26755500000000004,-0.33,0,132,3,0,135
ARTime,reward_low_FN_rate,benign/2024-02-06_04_benignLoop.csv,0.26755500000000004,-0.11,0,133,1,0,134
ARTime,reward_low_FN_rate,benign/2024-02-06_05_benignLoop.csv,0.26755500000000004,-0.33,0,137,3,0,140
ARTime,reward_low_FN_rate,benign/2024-02-06_06_benignLoop.csv,0.26755500000000004,-0.33,0,749,3,0,752
ARTime,reward_low_FN_rate,benign/2024-02-06_07_benignLoop.csv,0.26755500000000004,0.0,0,147,0,0,147
ARTime,reward_low_FN_rate,benign/2024-02-06_08_benignLoop.csv,0.26755500000000004,-0.22,0,134,2,0,136
ARTime,reward_low_FN_rate,benign/2024-02-06_09_benignLoop.csv,0.26755500000000004,-0.22,0,131,2,0,133
ARTime,reward_low_FN_rate,benign/2024-02-06_10_benignLoop.csv,0.26755500000000004,-0.22,0,145,2,0,147
ARTime,reward_low_FN_rate,benign/2024-02-06_11_benignLoop.csv,0.26755500000000004,-0.11,0,137,1,0,138
ARTime,reward_low_FN_rate,benign/2024-02-06_12_benignLoop.csv,0.26755500000000004,-0.22,0,134,2,0,136
ARTime,reward_low_FN_rate,benign/2024-02-06_13_benignLoop.csv,0.26755500000000004,-0.22,0,130,2,0,132
ARTime,reward_low_FN_rate,benign/2024-02-06_14_benignLoop.csv,0.26755500000000004,-0.33,0,705,3,0,708
ARTime,reward_low_FN_rate,benign/2024-02-06_15_benignLoop.csv,0.26755500000000004,-0.22,0,132,2,0,134
ARTime,reward_low_FN_rate,benign/2024-02-06_16_benignLoop.csv,0.26755500000000004,-0.22,0,129,2,0,131
ARTime,reward_low_FN_rate,benign/2024-02-06_17_benignLoop.csv,0.26755500000000004,-0.22,0,133,2,0,135
ARTime,reward_low_FN_rate,benign/2024-02-06_18_benignLoop.csv,0.26755500000000004,-0.33,0,492,3,0,495
ARTime,reward_low_FN_rate,benign/2024-02-07_01_benignLoop.csv,0.26755500000000004,-0.11,0,198,1,0,199
ARTime,reward_low_FN_rate,benign/2024-02-07_02_benignLoop.csv,0.26755500000000004,-0.11,0,202,1,0,203
ARTime,reward_low_FN_rate,benign/2024-02-07_03_benignLoop.csv,0.26755500000000004,-0.22,0,195,2,0,197
ARTime,reward_low_FN_rate,benign/2024-02-07_04_benignLoop.csv,0.26755500000000004,-0.11,0,198,1,0,199
ARTime,reward_low_FN_rate,benign/2024-02-07_05_benignLoop.csv,0.26755500000000004,-0.33,0,1224,3,0,1227
ARTime,reward_low_FN_rate,benign/2024-02-07_06_benignLoop.csv,0.26755500000000004,-0.11,0,200,1,0,201
ARTime,reward_low_FN_rate,benign/2024-02-07_07_benignLoop.csv,0.26755500000000004,-0.55,0,1228,5,0,1233
ARTime,reward_low_FN_rate,benign/2024-02-07_08_benignLoop.csv,0.26755500000000004,-0.44,0,990,4,0,994
ARTime,reward_low_FN_rate,benign/2024-02-08_01_benignLoop.csv,0.26755500000000004,-0.44,0,204,4,0,208
ARTime,reward_low_FN_rate,benign/2024-02-08_02_benignLoop.csv,0.26755500000000004,-0.55,0,1338,5,0,1343
ARTime,reward_low_FN_rate,benign/2024-02-08_03_benignLoop.csv,0.26755500000000004,-0.22,0,201,2,0,203
ARTime,reward_low_FN_rate,benign/2024-02-08_04_benignLoop.csv,0.26755500000000004,-0.11,0,1130,1,0,1131
ARTime,reward_low_FN_rate,benign/2024-02-08_05_benignLoop.csv,0.26755500000000004,-0.33,0,189,3,0,192
ARTime,reward_low_FN_rate,benign/2024-02-08_06_benignLoop.csv,0.26755500000000004,-0.33,0,1016,3,0,1019
ARTime,reward_low_FN_rate,benign/2024-02-08_07_benignLoop.csv,0.26755500000000004,-0.33,0,1343,3,0,1346
ARTime,reward_low_FN_rate,benign/2024-02-08_08_benignLoop.csv,0.26755500000000004,-0.22,0,399,2,0,401
ARTime,reward_low_FN_rate,benign/2024-02-08_09_benignLoop.csv,0.26755500000000004,-0.11,0,200,1,0,201
ARTime,reward_low_FN_rate,benign/2024-02-08_10_benignLoop.csv,0.26755500000000004,-0.33,0,186,3,0,189
ARTime,reward_low_FN_rate,benign/2024-02-08_11_benignLoop.csv,0.26755500000000004,-0.11,0,198,1,0,199
ARTime,reward_low_FN_rate,benign/2024-02-09_01_benignLoop.csv,0.26755500000000004,-0.11,0,212,1,0,213
ARTime,reward_low_FN_rate,benign/2024-02-09_02_benignLoop.csv,0.26755500000000004,-0.44,0,195,4,0,199
ARTime,reward_low_FN_rate,benign/2024-02-09_03_benignLoop.csv,0.26755500000000004,-0.11,0,196,1,0,197
ARTime,reward_low_FN_rate,benign/2024-02-09_04_benignLoop.csv,0.26755500000000004,-0.33,0,193,3,0,196
ARTime,reward_low_FN_rate,benign/2024-02-09_05_benignLoop.csv,0.26755500000000004,-0.33,0,196,3,0,199
ARTime,reward_low_FN_rate,benign/2024-02-09_06_benignLoop.csv,0.26755500000000004,-0.11,0,202,1,0,203
ARTime,reward_low_FN_rate,benign/2024-02-09_07_benignLoop.csv,0.26755500000000004,-0.22,0,186,2,0,188
