Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ARTime,reward_low_FP_rate,benign/2024-02-05_01_benignLoop.csv,0.620634,0.0,0,224,0,0,224
ARTime,reward_low_FP_rate,benign/2024-02-05_02_benignLoop.csv,0.620634,-0.22,0,477,1,0,478
ARTime,reward_low_FP_rate,benign/2024-02-05_03_benignLoop.csv,0.620634,0.0,0,690,0,0,690
ARTime,reward_low_FP_rate,benign/2024-02-05_04_benignLoop.csv,0.620634,0.0,0,143,0,0,143
ARTime,reward_low_FP_rate,benign/2024-02-05_05_benignLoop.csv,0.620634,0.0,0,138,0,0,138
ARTime,reward_low_FP_rate,benign/2024-02-05_06_benignLoop.csv,0.620634,0.0,0,137,0,0,137
ARTime,reward_low_FP_rate,benign/2024-02-05_07_benignLoop.csv,0.620634,0.0,0,136,0,0,136
ARTime,reward_low_FP_rate,benign/2024-02-05_08_benignLoop.csv,0.620634,-0.22,0,130,1,0,131
ARTime,reward_low_FP_rate,benign/2024-02-05_09_benignLoop.csv,0.620634,0.0,0,135,0,0,135
ARTime,reward_low_FP_rate,benign/2024-02-05_10_benignLoop.csv,0.620634,-0.22,0,134,1,0,135
ARTime,reward_low_FP_rate,benign/2024-02-05_11_benignLoop.csv,0.620634,0.0,0,141,0,0,141
ARTime,reward_low_FP_rate,benign/2024-02-05_12_benignLoop.csv,0.620634,0.0,0,132,0,0,132
ARTime,reward_low_FP_rate,benign/2024-02-05_13_benignLoop.csv,0.620634,0.0,0,573,0,0,573
ARTime,reward_low_FP_rate,benign/2024-02-05_14_benignLoop.csv,0.620634,-0.44,0,126,2,0,128
ARTime,reward_low_FP_rate,benign/2024-02-05_15_benignLoop.csv,0.620634,0.0,0,144,0,0,144
ARTime,reward_low_FP_rate,benign/2024-02-05_16_benignLoop.csv,0.620634,0.0,0,524,0,0,524
ARTime,reward_low_FP_rate,benign/2024-02-05_17_benignLoop.csv,0.620634,-0.44,0,137,2,0,139
ARTime,reward_low_FP_rate,benign/2024-02-05_18_benignLoop.csv,0.620634,0.0,0,714,0,0,714
ARTime,reward_low_FP_rate,benign/2024-02-05_19_benignLoop.csv,0.620634,0.0,0,677,0,0,677
ARTime,reward_low_FP_rate,benign/2024-02-05_20_benignLoop.csv,0.620634,0.0,0,134,0,0,134
ARTime,reward_low_FP_rate,benign/2024-02-06_01_benignLoop.csv,0.620634,0.0,0,705,0,0,705
ARTime,reward_low_FP_rate,benign/2024-02-06_02_benignLoop.csv,0.620634,0.0,0,136,0,0,136
ARTime,reward_low_FP_rate,benign/2024-02-06_03_benignLoop.csv,0.620634,-0.22,0,134,1,0,135
ARTime,reward_low_FP_rate,benign/2024-02-06_04_benignLoop.csv,0.620634,0.0,0,134,0,0,134
ARTime,reward_low_FP_rate,benign/2024-02-06_05_benignLoop.csv,0.620634,0.0,0,140,0,0,140
ARTime,reward_low_FP_rate,benign/2024-02-06_06_benignLoop.csv,0.620634,0.0,0,752,0,0,752
ARTime,reward_low_FP_rate,benign/2024-02-06_07_benignLoop.csv,0.620634,0.0,0,147,0,0,147
ARTime,reward_low_FP_rate,benign/2024-02-06_08_benignLoop.csv,0.620634,-0.22,0,135,1,0,136
ARTime,reward_low_FP_rate,benign/2024-02-06_09_benignLoop.csv,0.620634,-0.22,0,132,1,0,133
ARTime,reward_low_FP_rate,benign/2024-02-06_10_benignLoop.csv,0.620634,0.0,0,147,0,0,147
ARTime,reward_low_FP_rate,benign/2024-02-06_11_benignLoop.csv,0.620634,-0.22,0,137,1,0,138
ARTime,reward_low_FP_rate,benign/2024-02-06_12_benignLoop.csv,0.620634,-0.22,0,135,1,0,136
ARTime,reward_low_FP_rate,benign/2024-02-06_13_benignLoop.csv,0.620634,0.0,0,132,0,0,132
ARTime,reward_low_FP_rate,benign/2024-02-06_14_benignLoop.csv,0.620634,0.0,0,708,0,0,708
ARTime,reward_low_FP_rate,benign/2024-02-06_15_benignLoop.csv,0.620634,0.0,0,134,0,0,134
ARTime,reward_low_FP_rate,benign/2024-02-06_16_benignLoop.csv,0.620634,0.0,0,131,0,0,131
ARTime,reward_low_FP_rate,benign/2024-02-06_17_benignLoop.csv,0.620634,-0.44,0,133,2,0,135
ARTime,reward_low_FP_rate,benign/2024-02-06_18_benignLoop.csv,0.620634,-0.22,0,494,1,0,495
ARTime,reward_low_FP_rate,benign/2024-02-07_01_benignLoop.csv,0.620634,-0.22,0,198,1,0,199
ARTime,reward_low_FP_rate,benign/2024-02-07_02_benignLoop.csv,0.620634,0.0,0,203,0,0,203
ARTime,reward_low_FP_rate,benign/2024-02-07_03_benignLoop.csv,0.620634,0.0,0,197,0,0,197
ARTime,reward_low_FP_rate,benign/2024-02-07_04_benignLoop.csv,0.620634,0.0,0,199,0,0,199
ARTime,reward_low_FP_rate,benign/2024-02-07_05_benignLoop.csv,0.620634,0.0,0,1227,0,0,1227
ARTime,reward_low_FP_rate,benign/2024-02-07_06_benignLoop.csv,0.620634,-0.22,0,200,1,0,201
ARTime,reward_low_FP_rate,benign/2024-02-07_07_benignLoop.csv,0.620634,0.0,0,1233,0,0,1233
ARTime,reward_low_FP_rate,benign/2024-02-07_08_benignLoop.csv,0.620634,-0.22,0,993,1,0,994
ARTime,reward_low_FP_rate,benign/2024-02-08_01_benignLoop.csv,0.620634,-0.66,0,205,3,0,208
ARTime,reward_low_FP_rate,benign/2024-02-08_02_benignLoop.csv,0.620634,0.0,0,1343,0,0,1343
ARTime,reward_low_FP_rate,benign/2024-02-08_03_benignLoop.csv,0.620634,0.0,0,203,0,0,203
ARTime,reward_low_FP_rate,benign/2024-02-08_04_benignLoop.csv,0.620634,0.0,0,1131,0,0,1131
ARTime,reward_low_FP_rate,benign/2024-02-08_05_benignLoop.csv,0.620634,0.0,0,192,0,0,192
ARTime,reward_low_FP_rate,benign/2024-02-08_06_benignLoop.csv,0.620634,0.0,0,1019,0,0,1019
ARTime,reward_low_FP_rate,benign/2024-02-08_07_benignLoop.csv,0.620634,0.0,0,1346,0,0,1346
ARTime,reward_low_FP_rate,benign/2024-02-08_08_benignLoop.csv,0.620634,-0.22,0,400,1,0,401
ARTime,reward_low_FP_rate,benign/2024-02-08_09_benignLoop.csv,0.620634,-0.22,0,200,1,0,201
ARTime,reward_low_FP_rate,benign/2024-02-08_10_benignLoop.csv,0.620634,0.0,0,189,0,0,189
ARTime,reward_low_FP_rate,benign/2024-02-08_11_benignLoop.csv,0.620634,0.0,0,199,0,0,199
ARTime,reward_low_FP_rate,benign/2024-02-09_01_benignLoop.csv,0.620634,-0.22,0,212,1,0,213
ARTime,reward_low_FP_rate,benign/2024-02-09_02_benignLoop.csv,0.620634,0.0,0,199,0,0,199
ARTime,reward_low_FP_rate,benign/2024-02-09_03_benignLoop.csv,0.620634,0.0,0,197,0,0,197
ARTime,reward_low_FP_rate,benign/2024-02-09_04_benignLoop.csv,0.620634,0.0,0,196,0,0,196
ARTime,reward_low_FP_rate,benign/2024-02-09_05_benignLoop.csv,0.620634,-0.22,0,198,1,0,199
ARTime,reward_low_FP_rate,benign/2024-02-09_06_benignLoop.csv,0.620634,0.0,0,203,0,0,203
ARTime,reward_low_FP_rate,benign/2024-02-09_07_benignLoop.csv,0.620634,-0.22,0,187,1,0,188
ARTime,reward_low_FP_rate,benign/2024-02-09_08_benignLoop.csv,0.620634,-0.22,0,195,1,0,196
ARTime,reward_low_FP_rate,benign/2024-02-09_09_benignLoop.csv,0.620634,-0.44,0,194,2,0,196
ARTime,reward_low_FP_rate,benign/2024-02-09_10_benignLoop.csv,0.620634,0.0,0,1017,0,0,1017
ARTime,reward_low_FP_rate,benign/2024-02-09_11_benignLoop.csv,0.620634,0.0,0,1006,0,0,1006
ARTime,reward_low_FP_rate,benign/2024-02-12_01_benignLoop.csv,0.620634,-0.44,0,211,2,0,213
ARTime,reward_low_FP_rate,benign/2024-02-12_02_benignLoop.csv,0.620634,0.0,0,206,0,0,206
ARTime,reward_low_FP_rate,benign/2024-02-12_03_benignLoop.csv,0.620634,-0.66,0,220,3,0,223
ARTime,reward_low_FP_rate,benign/2024-02-12_04_benignLoop.csv,0.620634,0.0,0,1161,0,0,1161
ARTime,reward_low_FP_rate,benign/2024-02-12_05_benignLoop.csv,0.620634,-0.22,0,1224,1,0,1225
ARTime,reward_low_FP_rate,benign/2024-02-12_06_benignLoop.csv,0.620634,0.0,0,201,0,0,201
ARTime,reward_low_FP_rate,benign/2024-02-12_07_benignLoop.csv,0.620634,0.0,0,192,0,0,192
ARTime,reward_low_FP_rate,benign/2024-02-12_08_benignLoop.csv,0.620634,0.0,0,192,0,0,192
ARTime,reward_low_FP_rate,benign/2024-02-12_09_benignLoop.csv,0.620634,-0.22,0,1205,1,0,1206
ARTime,reward_low_FP_rate,benign/2024-02-12_10_benignLoop.csv,0.620634,-0.22,0,191,1,0,192
ARTime,reward_low_FP_rate,benign/2024-02-12_11_benignLoop.csv,0.620634,0.0,0,1034,0,0,1034
ARTime,reward_low_FP_rate,benign/2024-02-13_01_benignLoop.csv,0.620634,0.0,0,969,0,0,969
ARTime,reward_low_FP_rate,benign/2024-02-13_02_benignLoop.csv,0.620634,-0.22,0,193,1,0,194
ARTime,reward_low_FP_rate,benign/2024-02-13_03_benignLoop.csv,0.620634,-0.22,0,1172,1,0,1173
ARTime,reward_low_FP_rate,benign/2024-02-13_04_benignLoop.csv,0.620634,-0.22,0,200,1,0,201
ARTime,reward_low_FP_rate,benign/2024-02-13_05_benignLoop.csv,0.620634,0.0,0,1061,0,0,1061
ARTime,reward_low_FP_rate,benign/2024-02-13_06_benignLoop.csv,0.620634,0.0,0,1218,0,0,1218
ARTime,reward_low_FP_rate,benign/2024-02-13_07_benignLoop.csv,0.620634,-0.22,0,202,1,0,203
ARTime,reward_low_FP_rate,benign/2024-02-13_08_benignLoop.csv,0.620634,-0.22,0,200,1,0,201
ARTime,reward_low_FP_rate,benign/2024-02-14_01_benignLoop.csv,0.620634,-0.44,0,236,2,0,238
ARTime,reward_low_FP_rate,benign/2024-02-14_02_benignLoop.csv,0.620634,0.0,0,407,0,0,407
ARTime,reward_low_FP_rate,benign/2024-02-14_03_benignLoop.csv,0.620634,-0.22,0,356,1,0,357
ARTime,reward_low_FP_rate,benign/2024-02-14_04_benignLoop.csv,0.620634,-0.22,0,395,1,0,396
ARTime,reward_low_FP_rate,benign/2024-02-14_05_benignLoop.csv,0.620634,-0.22,0,352,1,0,353
ARTime,reward_low_FP_rate,benign/2024-02-14_06_benignLoop.csv,0.620634,-0.22,0,329,1,0,330
ARTime,reward_low_FP_rate,benign/2024-02-14_07_benignLoop.csv,0.620634,0.0,0,2479,0,0,2479
ARTime,reward_low_FP_rate,benign/2024-02-14_08_benignLoop.csv,0.620634,-0.22,0,347,1,0,348
ARTime,reward_low_FP_rate,benign/2024-02-14_09_benignLoop.csv,0.620634,0.0,0,402,0,0,402
ARTime,reward_low_FP_rate,benign/2024-02-14_10_benignLoop.csv,0.620634,0.0,0,369,0,0,369
ARTime,reward_low_FP_rate,benign/2024-02-14_11_benignLoop.csv,0.620634,0.0,0,381,0,0,381
ARTime,reward_low_FP_rate,benign/2024-02-15_01_benignLoop.csv,0.620634,0.0,0,356,0,0,356
ARTime,reward_low_FP_rate,benign/2024-02-15_02_benignLoop.csv,0.620634,-0.44,0,359,2,0,361
ARTime,reward_low_FP_rate,benign/2024-02-15_03_benignLoop.csv,0.620634,-0.22,0,354,1,0,355
ARTime,reward_low_FP_rate,benign/2024-02-15_04_benignLoop.csv,0.620634,0.0,0,2525,0,0,2525
ARTime,reward_low_FP_rate,benign/2024-02-15_05_benignLoop.csv,0.620634,-0.44,0,359,2,0,361
ARTime,reward_low_FP_rate,benign/2024-02-15_06_benignLoop.csv,0.620634,0.0,0,2170,0,0,2170
ARTime,reward_low_FP_rate,benign/2024-02-15_07_benignLoop.csv,0.620634,-0.44,0,377,2,0,379
ARTime,reward_low_FP_rate,benign/2024-02-15_08_benignLoop.csv,0.620634,0.0,0,364,0,0,364
ARTime,reward_low_FP_rate,benign/2024-02-15_09_benignLoop.csv,0.620634,0.0,0,369,0,0,369
ARTime,reward_low_FP_rate,benign/2024-02-15_10_benignLoop.csv,0.620634,-0.22,0,389,1,0,390
ARTime,reward_low_FP_rate,benign/2024-02-15_11_benignLoop.csv,0.620634,0.0,0,369,0,0,369
ARTime,reward_low_FP_rate,benign/2024-02-15_12_benignLoop.csv,0.620634,0.0,0,408,0,0,408
ARTime,reward_low_FP_rate,benign/2024-02-15_13_benignLoop.csv,0.620634,-0.22,0,405,1,0,406
ARTime,reward_low_FP_rate,benign/2024-02-15_14_benignLoop.csv,0.620634,0.0,0,409,0,0,409
ARTime,reward_low_FP_rate,benign/2024-02-17_01_benignLoop.csv,0.620634,-0.22,0,443,1,0,444
ARTime,reward_low_FP_rate,benign/2024-02-17_02_benignLoop.csv,0.620634,-0.22,0,391,1,0,392
ARTime,reward_low_FP_rate,benign/2024-02-17_03_benignLoop.csv,0.620634,-0.22,0,342,1,0,343
ARTime,reward_low_FP_rate,benign/2024-02-17_04_benignLoop.csv,0.620634,-0.22,0,387,1,0,388
ARTime,reward_low_FP_rate,benign/2024-02-17_05_benignLoop.csv,0.620634,0.0,0,2033,0,0,2033
ARTime,reward_low_FP_rate,benign/2024-02-17_06_benignLoop.csv,0.620634,-0.22,0,326,1,0,327
ARTime,reward_low_FP_rate,benign/2024-02-17_07_benignLoop.csv,0.620634,0.0,0,2239,0,0,2239
ARTime,reward_low_FP_rate,benign/2024-02-17_08_benignLoop.csv,0.620634,0.0,0,345,0,0,345
ARTime,reward_low_FP_rate,benign/2024-02-18_01_benignLoop.csv,0.620634,0.0,0,345,0,0,345
ARTime,reward_low_FP_rate,benign/2024-02-18_02_benignLoop.csv,0.620634,-0.44,0,332,2,0,334
ARTime,reward_low_FP_rate,benign/2024-02-18_03_benignLoop.csv,0.620634,-0.22,0,320,1,0,321
ARTime,reward_low_FP_rate,benign/2024-02-18_04_benignLoop.csv,0.620634,-0.22,0,382,1,0,383
