Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ARTime,standard,benign/2024-02-05_01_benignLoop.csv,0.343629,-0.22,0,222,2,0,224
ARTime,standard,benign/2024-02-05_02_benignLoop.csv,0.343629,-0.22,0,476,2,0,478
ARTime,standard,benign/2024-02-05_03_benignLoop.csv,0.343629,-0.44,0,686,4,0,690
ARTime,standard,benign/2024-02-05_04_benignLoop.csv,0.343629,-0.11,0,142,1,0,143
ARTime,standard,benign/2024-02-05_05_benignLoop.csv,0.343629,-0.11,0,137,1,0,138
ARTime,standard,benign/2024-02-05_06_benignLoop.csv,0.343629,-0.22,0,135,2,0,137
ARTime,standard,benign/2024-02-05_07_benignLoop.csv,0.343629,0.0,0,136,0,0,136
ARTime,standard,benign/2024-02-05_08_benignLoop.csv,0.343629,-0.22,0,129,2,0,131
ARTime,standard,benign/2024-02-05_09_benignLoop.csv,0.343629,0.0,0,135,0,0,135
ARTime,standard,benign/2024-02-05_10_benignLoop.csv,0.343629,-0.33,0,132,3,0,135
ARTime,standard,benign/2024-02-05_11_benignLoop.csv,0.343629,-0.11,0,140,1,0,141
ARTime,standard,benign/2024-02-05_12_benignLoop.csv,0.343629,-0.22,0,130,2,0,132
ARTime,standard,benign/2024-02-05_13_benignLoop.csv,0.343629,-0.22,0,571,2,0,573
ARTime,standard,benign/2024-02-05_14_benignLoop.csv,0.343629,-0.22,0,126,2,0,128
ARTime,standard,benign/2024-02-05_15_benignLoop.csv,0.343629,-0.11,0,143,1,0,144
ARTime,standard,benign/2024-02-05_16_benignLoop.csv,0.343629,-0.22,0,522,2,0,524
ARTime,standard,benign/2024-02-05_17_benignLoop.csv,0.343629,-0.33,0,136,3,0,139
ARTime,standard,benign/2024-02-05_18_benignLoop.csv,0.343629,-0.11,0,713,1,0,714
ARTime,standard,benign/2024-02-05_19_benignLoop.csv,0.343629,-0.44,0,673,4,0,677
ARTime,standard,benign/2024-02-05_20_benignLoop.csv,0.343629,-0.11,0,133,1,0,134
ARTime,standard,benign/2024-02-06_01_benignLoop.csv,0.343629,-0.33,0,702,3,0,705
ARTime,standard,benign/2024-02-06_02_benignLoop.csv,0.343629,-0.33,0,133,3,0,136
ARTime,standard,benign/2024-02-06_03_benignLoop.csv,0.343629,-0.33,0,132,3,0,135
ARTime,standard,benign/2024-02-06_04_benignLoop.csv,0.343629,0.0,0,134,0,0,134
ARTime,standard,benign/2024-02-06_05_benignLoop.csv,0.343629,-0.11,0,139,1,0,140
ARTime,standard,benign/2024-02-06_06_benignLoop.csv,0.343629,-0.22,0,750,2,0,752
ARTime,standard,benign/2024-02-06_07_benignLoop.csv,0.343629,0.0,0,147,0,0,147
ARTime,standard,benign/2024-02-06_08_benignLoop.csv,0.343629,-0.22,0,134,2,0,136
ARTime,standard,benign/2024-02-06_09_benignLoop.csv,0.343629,-0.22,0,131,2,0,133
ARTime,standard,benign/2024-02-06_10_benignLoop.csv,0.343629,-0.22,0,145,2,0,147
ARTime,standard,benign/2024-02-06_11_benignLoop.csv,0.343629,-0.11,0,137,1,0,138
ARTime,standard,benign/2024-02-06_12_benignLoop.csv,0.343629,-0.22,0,134,2,0,136
ARTime,standard,benign/2024-02-06_13_benignLoop.csv,0.343629,-0.22,0,130,2,0,132
ARTime,standard,benign/2024-02-06_14_benignLoop.csv,0.343629,-0.22,0,706,2,0,708
ARTime,standard,benign/2024-02-06_15_benignLoop.csv,0.343629,-0.22,0,132,2,0,134
ARTime,standard,benign/2024-02-06_16_benignLoop.csv,0.343629,-0.11,0,130,1,0,131
ARTime,standard,benign/2024-02-06_17_benignLoop.csv,0.343629,-0.22,0,133,2,0,135
ARTime,standard,benign/2024-02-06_18_benignLoop.csv,0.343629,-0.33,0,492,3,0,495
ARTime,standard,benign/2024-02-07_01_benignLoop.csv,0.343629,-0.11,0,198,1,0,199
ARTime,standard,benign/2024-02-07_02_benignLoop.csv,0.343629,-0.11,0,202,1,0,203
ARTime,standard,benign/2024-02-07_03_benignLoop.csv,0.343629,-0.11,0,196,1,0,197
ARTime,standard,benign/2024-02-07_04_benignLoop.csv,0.343629,0.0,0,199,0,0,199
ARTime,standard,benign/2024-02-07_05_benignLoop.csv,0.343629,-0.11,0,1226,1,0,1227
ARTime,standard,benign/2024-02-07_06_benignLoop.csv,0.343629,-0.11,0,200,1,0,201
ARTime,standard,benign/2024-02-07_07_benignLoop.csv,0.343629,-0.11,0,1232,1,0,1233
ARTime,standard,benign/2024-02-07_08_benignLoop.csv,0.343629,-0.22,0,992,2,0,994
ARTime,standard,benign/2024-02-08_01_benignLoop.csv,0.343629,-0.33,0,205,3,0,208
ARTime,standard,benign/2024-02-08_02_benignLoop.csv,0.343629,-0.44,0,1339,4,0,1343
ARTime,standard,benign/2024-02-08_03_benignLoop.csv,0.343629,-0.22,0,201,2,0,203
ARTime,standard,benign/2024-02-08_04_benignLoop.csv,0.343629,-0.11,0,1130,1,0,1131
ARTime,standard,benign/2024-02-08_05_benignLoop.csv,0.343629,-0.22,0,190,2,0,192
ARTime,standard,benign/2024-02-08_06_benignLoop.csv,0.343629,-0.22,0,1017,2,0,1019
ARTime,standard,benign/2024-02-08_07_benignLoop.csv,0.343629,0.0,0,1346,0,0,1346
ARTime,standard,benign/2024-02-08_08_benignLoop.csv,0.343629,-0.11,0,400,1,0,401
ARTime,standard,benign/2024-02-08_09_benignLoop.csv,0.343629,-0.11,0,200,1,0,201
ARTime,standard,benign/2024-02-08_10_benignLoop.csv,0.343629,-0.11,0,188,1,0,189
ARTime,standard,benign/2024-02-08_11_benignLoop.csv,0.343629,-0.11,0,198,1,0,199
ARTime,standard,benign/2024-02-09_01_benignLoop.csv,0.343629,-0.11,0,212,1,0,213
ARTime,standard,benign/2024-02-09_02_benignLoop.csv,0.343629,-0.33,0,196,3,0,199
ARTime,standard,benign/2024-02-09_03_benignLoop.csv,0.343629,0.0,0,197,0,0,197
ARTime,standard,benign/2024-02-09_04_benignLoop.csv,0.343629,-0.22,0,194,2,0,196
ARTime,standard,benign/2024-02-09_05_benignLoop.csv,0.343629,-0.33,0,196,3,0,199
ARTime,standard,benign/2024-02-09_06_benignLoop.csv,0.343629,-0.11,0,202,1,0,203
ARTime,standard,benign/2024-02-09_07_benignLoop.csv,0.343629,-0.11,0,187,1,0,188
ARTime,standard,benign/2024-02-09_08_benignLoop.csv,0.343629,-0.33,0,193,3,0,196
ARTime,standard,benign/2024-02-09_09_benignLoop.csv,0.343629,-0.44,0,192,4,0,196
ARTime,standard,benign/2024-02-09_10_benignLoop.csv,0.343629,-0.11,0,1016,1,0,1017
ARTime,standard,benign/2024-02-09_11_benignLoop.csv,0.343629,-0.11,0,1005,1,0,1006
ARTime,standard,benign/2024-02-12_01_benignLoop.csv,0.343629,-0.22,0,211,2,0,213
ARTime,standard,benign/2024-02-12_02_benignLoop.csv,0.343629,0.0,0,206,0,0,206
ARTime,standard,benign/2024-02-12_03_benignLoop.csv,0.343629,-0.33,0,220,3,0,223
ARTime,standard,benign/2024-02-12_04_benignLoop.csv,0.343629,-0.44,0,1157,4,0,1161
ARTime,standard,benign/2024-02-12_05_benignLoop.csv,0.343629,-0.11,0,1224,1,0,1225
ARTime,standard,benign/2024-02-12_06_benignLoop.csv,0.343629,-0.11,0,200,1,0,201
ARTime,standard,benign/2024-02-12_07_benignLoop.csv,0.343629,-0.22,0,190,2,0,192
ARTime,standard,benign/2024-02-12_08_benignLoop.csv,0.343629,-0.11,0,191,1,0,192
ARTime,standard,benign/2024-02-12_09_benignLoop.csv,0.343629,-0.22,0,1204,2,0,1206
ARTime,standard,benign/2024-02-12_10_benignLoop.csv,0.343629,-0.11,0,191,1,0,192
ARTime,standard,benign/2024-02-12_11_benignLoop.csv,0.343629,-0.22,0,1032,2,0,1034
ARTime,standard,benign/2024-02-13_01_benignLoop.csv,0.343629,-0.22,0,967,2,0,969
ARTime,standard,benign/2024-02-13_02_benignLoop.csv,0.343629,-0.22,0,192,2,0,194
ARTime,standard,benign/2024-02-13_03_benignLoop.csv,0.343629,-0.22,0,1171,2,0,1173
ARTime,standard,benign/2024-02-13_04_benignLoop.csv,0.343629,-0.22,0,199,2,0,201
ARTime,standard,benign/2024-02-13_05_benignLoop.csv,0.343629,-0.11,0,1060,1,0,1061
ARTime,standard,benign/2024-02-13_06_benignLoop.csv,0.343629,-0.22,0,1216,2,0,1218
ARTime,standard,benign/2024-02-13_07_benignLoop.csv,0.343629,-0.22,0,201,2,0,203
ARTime,standard,benign/2024-02-13_08_benignLoop.csv,0.343629,-0.11,0,200,1,0,201
ARTime,standard,benign/2024-02-14_01_benignLoop.csv,0.343629,-0.22,0,236,2,0,238
