Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
DeepLog,reward_low_FP_rate,benign/2024-02-05_01_benignLoop.csv,1.0,0.0,0,224,0,0,224
DeepLog,reward_low_FP_rate,benign/2024-02-05_02_benignLoop.csv,1.0,0.0,0,478,0,0,478
DeepLog,reward_low_FP_rate,benign/2024-02-05_03_benignLoop.csv,1.0,0.0,0,690,0,0,690
DeepLog,reward_low_FP_rate,benign/2024-02-05_04_benignLoop.csv,1.0,0.0,0,143,0,0,143
DeepLog,reward_low_FP_rate,benign/2024-02-05_05_benignLoop.csv,1.0,0.0,0,138,0,0,138
DeepLog,reward_low_FP_rate,benign/2024-02-05_06_benignLoop.csv,1.0,0.0,0,137,0,0,137
DeepLog,reward_low_FP_rate,benign/2024-02-05_07_benignLoop.csv,1.0,0.0,0,136,0,0,136
DeepLog,reward_low_FP_rate,benign/2024-02-05_08_benignLoop.csv,1.0,0.0,0,131,0,0,131
DeepLog,reward_low_FP_rate,benign/2024-02-05_09_benignLoop.csv,1.0,0.0,0,135,0,0,135
DeepLog,reward_low_FP_rate,benign/2024-02-05_10_benignLoop.csv,1.0,0.0,0,135,0,0,135
DeepLog,reward_low_FP_rate,benign/2024-02-05_11_benignLoop.csv,1.0,0.0,0,141,0,0,141
DeepLog,reward_low_FP_rate,benign/2024-02-05_12_benignLoop.csv,1.0,0.0,0,132,0,0,132
DeepLog,reward_low_FP_rate,benign/2024-02-05_13_benignLoop.csv,1.0,0.0,0,573,0,0,573
DeepLog,reward_low_FP_rate,benign/2024-02-05_14_benignLoop.csv,1.0,0.0,0,128,0,0,128
DeepLog,reward_low_FP_rate,benign/2024-02-05_15_benignLoop.csv,1.0,0.0,0,144,0,0,144
DeepLog,reward_low_FP_rate,benign/2024-02-05_16_benignLoop.csv,1.0,0.0,0,524,0,0,524
DeepLog,reward_low_FP_rate,benign/2024-02-05_17_benignLoop.csv,1.0,-0.22,0,138,1,0,139
DeepLog,reward_low_FP_rate,benign/2024-02-05_18_benignLoop.csv,1.0,0.0,0,714,0,0,714
DeepLog,reward_low_FP_rate,benign/2024-02-05_19_benignLoop.csv,1.0,0.0,0,677,0,0,677
DeepLog,reward_low_FP_rate,benign/2024-02-05_20_benignLoop.csv,1.0,0.0,0,134,0,0,134
DeepLog,reward_low_FP_rate,benign/2024-02-06_01_benignLoop.csv,1.0,0.0,0,705,0,0,705
DeepLog,reward_low_FP_rate,benign/2024-02-06_02_benignLoop.csv,1.0,0.0,0,136,0,0,136
DeepLog,reward_low_FP_rate,benign/2024-02-06_03_benignLoop.csv,1.0,0.0,0,135,0,0,135
DeepLog,reward_low_FP_rate,benign/2024-02-06_04_benignLoop.csv,1.0,0.0,0,134,0,0,134
DeepLog,reward_low_FP_rate,benign/2024-02-06_05_benignLoop.csv,1.0,0.0,0,140,0,0,140
DeepLog,reward_low_FP_rate,benign/2024-02-06_06_benignLoop.csv,1.0,0.0,0,752,0,0,752
DeepLog,reward_low_FP_rate,benign/2024-02-06_07_benignLoop.csv,1.0,0.0,0,147,0,0,147
DeepLog,reward_low_FP_rate,benign/2024-02-06_08_benignLoop.csv,1.0,0.0,0,136,0,0,136
DeepLog,reward_low_FP_rate,benign/2024-02-06_09_benignLoop.csv,1.0,0.0,0,133,0,0,133
DeepLog,reward_low_FP_rate,benign/2024-02-06_10_benignLoop.csv,1.0,0.0,0,147,0,0,147
DeepLog,reward_low_FP_rate,benign/2024-02-06_11_benignLoop.csv,1.0,-0.22,0,137,1,0,138
DeepLog,reward_low_FP_rate,benign/2024-02-06_12_benignLoop.csv,1.0,0.0,0,136,0,0,136
DeepLog,reward_low_FP_rate,benign/2024-02-06_13_benignLoop.csv,1.0,0.0,0,132,0,0,132
DeepLog,reward_low_FP_rate,benign/2024-02-06_14_benignLoop.csv,1.0,-0.44,0,706,2,0,708
DeepLog,reward_low_FP_rate,benign/2024-02-06_15_benignLoop.csv,1.0,0.0,0,134,0,0,134
DeepLog,reward_low_FP_rate,benign/2024-02-06_16_benignLoop.csv,1.0,0.0,0,131,0,0,131
DeepLog,reward_low_FP_rate,benign/2024-02-06_17_benignLoop.csv,1.0,0.0,0,135,0,0,135
DeepLog,reward_low_FP_rate,benign/2024-02-06_18_benignLoop.csv,1.0,0.0,0,495,0,0,495
DeepLog,reward_low_FP_rate,benign/2024-02-07_01_benignLoop.csv,1.0,0.0,0,199,0,0,199
DeepLog,reward_low_FP_rate,benign/2024-02-07_02_benignLoop.csv,1.0,0.0,0,203,0,0,203
