Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
vmft-lad,reward_low_FP_rate,benign/2024-02-05_01_benignLoop.csv,1.0,0.0,0,224,0,0,224
vmft-lad,reward_low_FP_rate,benign/2024-02-05_02_benignLoop.csv,1.0,0.0,0,478,0,0,478
vmft-lad,reward_low_FP_rate,benign/2024-02-05_03_benignLoop.csv,1.0,0.0,0,690,0,0,690
vmft-lad,reward_low_FP_rate,benign/2024-02-05_04_benignLoop.csv,1.0,0.0,0,143,0,0,143
vmft-lad,reward_low_FP_rate,benign/2024-02-05_05_benignLoop.csv,1.0,0.0,0,138,0,0,138
vmft-lad,reward_low_FP_rate,benign/2024-02-05_06_benignLoop.csv,1.0,0.0,0,137,0,0,137
vmft-lad,reward_low_FP_rate,benign/2024-02-05_07_benignLoop.csv,1.0,0.0,0,136,0,0,136
vmft-lad,reward_low_FP_rate,benign/2024-02-05_08_benignLoop.csv,1.0,0.0,0,131,0,0,131
vmft-lad,reward_low_FP_rate,benign/2024-02-05_09_benignLoop.csv,1.0,0.0,0,135,0,0,135
vmft-lad,reward_low_FP_rate,benign/2024-02-05_10_benignLoop.csv,1.0,0.0,0,135,0,0,135
vmft-lad,reward_low_FP_rate,benign/2024-02-05_11_benignLoop.csv,1.0,0.0,0,141,0,0,141
vmft-lad,reward_low_FP_rate,benign/2024-02-05_12_benignLoop.csv,1.0,0.0,0,132,0,0,132
vmft-lad,reward_low_FP_rate,benign/2024-02-05_13_benignLoop.csv,1.0,0.0,0,573,0,0,573
vmft-lad,reward_low_FP_rate,benign/2024-02-05_14_benignLoop.csv,1.0,0.0,0,128,0,0,128
vmft-lad,reward_low_FP_rate,benign/2024-02-05_15_benignLoop.csv,1.0,0.0,0,144,0,0,144
vmft-lad,reward_low_FP_rate,benign/2024-02-05_16_benignLoop.csv,1.0,0.0,0,524,0,0,524
vmft-lad,reward_low_FP_rate,benign/2024-02-05_17_benignLoop.csv,1.0,0.0,0,139,0,0,139
vmft-lad,reward_low_FP_rate,benign/2024-02-05_18_benignLoop.csv,1.0,0.0,0,714,0,0,714
vmft-lad,reward_low_FP_rate,benign/2024-02-05_19_benignLoop.csv,1.0,0.0,0,677,0,0,677
vmft-lad,reward_low_FP_rate,benign/2024-02-05_20_benignLoop.csv,1.0,0.0,0,134,0,0,134
vmft-lad,reward_low_FP_rate,benign/2024-02-06_01_benignLoop.csv,1.0,0.0,0,705,0,0,705
vmft-lad,reward_low_FP_rate,benign/2024-02-06_02_benignLoop.csv,1.0,0.0,0,136,0,0,136
